"","Year","Location","Event","Athelete","Country","Medal","Time","TimeFormat","Altitude","minutes","seconds","totalseconds"
"223",1980,"Lake Placid, United States","1500m Men","Kay Arne Stenshjemmet","NOR","SILVER","1:56.81","1:56.81",568,60,56.81,116.81
"224",1980,"Lake Placid, United States","1500m Men","Terje Andersen","NOR","BRONZE","1:56.92","1:56.92",568,60,56.92,116.92
"225",1980,"Lake Placid, United States","5000m Men","Eric Heiden","USA","GOLD","7:02.29","7:02.29",568,420,2.29,422.29
"226",1980,"Lake Placid, United States","5000m Men","Kay Arne Stenshjemmet","NOR","SILVER","7:03.28","7:03.28",568,420,3.28,423.28
"227",1980,"Lake Placid, United States","5000m Men","Tom Erik Oxholm","NOR","BRONZE","7:05.59","7:05.59",568,420,5.59,425.59
"228",1980,"Lake Placid, United States","10000m Men","Eric Heiden","USA","GOLD","14:28.13","14:28.13",568,840,28.13,868.13
"229",1980,"Lake Placid, United States","10000m Men","Piet Kleine","NED","SILVER","14:36.03","14:36.03",568,840,36.03,876.03
"230",1980,"Lake Placid, United States","10000m Men","Tom Erik Oxholm","NOR","BRONZE","14:36.60","14:36.60",568,840,36.6,876.6
"231",1980,"Lake Placid, United States","500m Women","Karin Enke","GDR","GOLD","41.78","00:41.78",568,0,41.78,41.78
"232",1980,"Lake Placid, United States","500m Women","Leah Poulos-Mueller","USA","SILVER","42.26","00:42.26",568,0,42.26,42.26
"233",1980,"Lake Placid, United States","500m Women","Natalya Petruseva","URS","BRONZE","42.42","00:42.42",568,0,42.42,42.42
"234",1980,"Lake Placid, United States","1000m Women","Natalya Petruseva","URS","GOLD","1:24.10","1:24.10",568,60,24.1,84.1
"235",1980,"Lake Placid, United States","1000m Women","Leah Poulos-Mueller","USA","SILVER","1:25.41","1:25.41",568,60,25.41,85.41
"236",1980,"Lake Placid, United States","1000m Women","Silvia Albrecht","GDR","BRONZE","1:26.46","1:26.46",568,60,26.46,86.46
"237",1980,"Lake Placid, United States","1500m Women","Annie Borckink","NED","GOLD","2:10.95","2:10.95",568,120,10.95,130.95
"238",1980,"Lake Placid, United States","1500m Women","Ria Visser","NED","SILVER","2:12.35","2:12.35",568,120,12.35,132.35
"239",1980,"Lake Placid, United States","1500m Women","Sabine Becker","GDR","BRONZE","2:12.38","2:12.38",568,120,12.38,132.38
"240",1980,"Lake Placid, United States","3000m Women","Bjørg Eva Jensen","NOR","GOLD","4:32.13","4:32.13",568,240,32.13,272.13
"241",1980,"Lake Placid, United States","3000m Women","Sabine Becker","GDR","SILVER","4:32.79","4:32.79",568,240,32.79,272.79
"242",1980,"Lake Placid, United States","3000m Women","Beth Heiden","USA","BRONZE","4:33.77","4:33.77",568,240,33.77,273.77
"243",1984,"Sarajevo, Yugoslavia","500m Men","Sergey Fokichev","URS","GOLD","38.19","00:38.19",500,0,38.19,38.19
"244",1984,"Sarajevo, Yugoslavia","500m Men","Yoshihiro Kitazawa","JPN","SILVER","38.3","00:38.30",500,0,38.3,38.3
"245",1984,"Sarajevo, Yugoslavia","500m Men","Gaétan Boucher","CAN","BRONZE","38.39","00:38.90",500,0,38.9,38.9
"246",1984,"Sarajevo, Yugoslavia","1000m Men","Gaétan Boucher","CAN","GOLD","1:15.80","1:15.80",500,60,15.8,75.8
"247",1984,"Sarajevo, Yugoslavia","1000m Men","Sergey Khlebnikov","URS","SILVER","1:16.63","1:16.63",500,60,16.63,76.63
"248",1984,"Sarajevo, Yugoslavia","1000m Men","Kai Arne Engelstad","NOR","BRONZE","1:16.75","1:16.75",500,60,16.75,76.75
"249",1984,"Sarajevo, Yugoslavia","1500m Men","Gaétan Boucher","CAN","GOLD","1:58.36","1:58.36",500,60,58.36,118.36
"250",1984,"Sarajevo, Yugoslavia","1500m Men","Sergey Khlebnikov","URS","SILVER","1:58.83","1:58.83",500,60,58.83,118.83
"251",1984,"Sarajevo, Yugoslavia","1500m Men","Oleg Bozhyev","URS","BRONZE","1:58.89","1:58.89",500,60,58.89,118.89
"252",1984,"Sarajevo, Yugoslavia","5000m Men","Tomas Gustafsson","SWE","GOLD","7:12.28","7:12.28",500,420,12.28,432.28
"253",1984,"Sarajevo, Yugoslavia","5000m Men","Igor Malkov","URS","SILVER","7:12.30","7:12.30",500,420,12.3,432.3
"254",1984,"Sarajevo, Yugoslavia","5000m Men","René Schöfisch","GDR","BRONZE","7:17.49","7:17.49",500,420,17.49,437.49
"255",1984,"Sarajevo, Yugoslavia","10000m Men","Igor Malkov","URS","GOLD","14:39.90","14:39.90",500,840,39.9,879.9
"256",1984,"Sarajevo, Yugoslavia","10000m Men","Tomas Gustafsson","SWE","SILVER","14:39.95","14:39.95",500,840,39.95,879.95
"257",1984,"Sarajevo, Yugoslavia","10000m Men","René Schöfisch","GDR","BRONZE","14:46.91","14:46.91",500,840,46.91,886.91
"258",1984,"Sarajevo, Yugoslavia","500m Women","Christa Rothenburger","GDR","GOLD","41.02","00:41.02",500,0,41.02,41.02
"259",1984,"Sarajevo, Yugoslavia","500m Women","Karin Enke","GDR","SILVER","41.28","00:41.28",500,0,41.28,41.28
"260",1984,"Sarajevo, Yugoslavia","500m Women","Natalya Shive","URS","BRONZE","41.5","00:41.50",500,0,41.5,41.5
"261",1984,"Sarajevo, Yugoslavia","1000m Women","Karin Enke","GDR","GOLD","1:21.61","1:21.61",500,60,21.61,81.61
"262",1984,"Sarajevo, Yugoslavia","1000m Women","Andrea Schöne","GDR","SILVER","1:22.83","1:22.83",500,60,22.83,82.83
"263",1984,"Sarajevo, Yugoslavia","1000m Women","Natalya Petruseva","URS","BRONZE","1:23.21","1:23.21",500,60,23.21,83.21
"264",1984,"Sarajevo, Yugoslavia","1500m Women","Karin Enke","GDR","GOLD","2:03.42","2:03.42",500,120,3.42,123.42
"265",1984,"Sarajevo, Yugoslavia","1500m Women","Andrea Schöne","GDR","SILVER","2:05.29","2:05.29",500,120,5.29,125.29
"266",1984,"Sarajevo, Yugoslavia","1500m Women","Natalya Petruseva","URS","BRONZE","2:05.78","2:05.78",500,120,5.78,125.78
"267",1984,"Sarajevo, Yugoslavia","3000m Women","Andrea Schöne","GDR","GOLD","4:24.79","4:24.79",500,240,24.79,264.79
"268",1984,"Sarajevo, Yugoslavia","3000m Women","Karin Enke","GDR","SILVER","4:26.33","4:26.33",500,240,26.33,266.33
"269",1984,"Sarajevo, Yugoslavia","3000m Women","Gabi Zange-Schönbrunn","GDR","BRONZE","4:33.13","4:33.13",500,240,33.13,273.13
"270",1988,"Calgary, Canada","500m Men","Uwe-Jens Mey","GDR","GOLD","36.45","00:36.45",1048,0,36.45,36.45
"271",1988,"Calgary, Canada","500m Men","Jan Ykema","NED","SILVER","36.76","00:36.76",1048,0,36.76,36.76
"272",1988,"Calgary, Canada","500m Men","Akira Kuroiwa","JPN","BRONZE","36.77","00:36.77",1048,0,36.77,36.77
"273",1988,"Calgary, Canada","1000m Men","Nikolay Gulyaev","URS","GOLD","1:13.03","1:13.03",1048,60,13.03,73.03
"274",1988,"Calgary, Canada","1000m Men","Uwe-Jens Mey","GDR","SILVER","1:13.11","1:13.11",1048,60,13.11,73.11
"275",1988,"Calgary, Canada","1000m Men","Igor Zhelezovsky","URS","BRONZE","1:13.19","1:13.19",1048,60,13.19,73.19
"276",1988,"Calgary, Canada","1500m Men","André Hoffmann","GDR","GOLD","1:52.06","1:52.06",1048,60,52.06,112.06
"277",1988,"Calgary, Canada","1500m Men","Eric Flaim","USA","SILVER","1:52.12","1:52.12",1048,60,52.12,112.12
"278",1988,"Calgary, Canada","1500m Men","Michael Hadschieff","AUT","BRONZE","1:52.31","1:52.31",1048,60,52.31,112.31
"279",1988,"Calgary, Canada","5000m Men","Tomas Gustafsson","SWE","GOLD","6:44.63","6:44.63",1048,360,44.63,404.63
"280",1988,"Calgary, Canada","5000m Men","Leo Visser","NED","SILVER","6:44.98","6:44.98",1048,360,44.98,404.98
"281",1988,"Calgary, Canada","5000m Men","Gerard Kemkers","NED","BRONZE","6:45.92","6:45.92",1048,360,45.92,405.92
"282",1988,"Calgary, Canada","10000m Men","Tomas Gustafsson","SWE","GOLD","13:48.20","13:48.20",1048,780,48.2,828.2
"283",1988,"Calgary, Canada","10000m Men","Michael Hadschieff","AUT","SILVER","13:56.11","13:56.11",1048,780,56.11,836.11
"284",1988,"Calgary, Canada","10000m Men","Leo Visser","NED","BRONZE","14:00.55","14:00.55",1048,840,0.55,840.55
"285",1988,"Calgary, Canada","500m Women","Bonnie Blair","USA","GOLD","39.1","00:39.10",1048,0,39.1,39.1
"286",1988,"Calgary, Canada","500m Women","Christa Rothenburger","GDR","SILVER","39.12","00:39.12",1048,0,39.12,39.12
"287",1988,"Calgary, Canada","500m Women","Karin Enke","GDR","BRONZE","39.24","00:39.24",1048,0,39.24,39.24
"288",1988,"Calgary, Canada","1000m Women","Christa Rothenburger","GDR","GOLD","1:17.65","1:17.65",1048,60,17.65,77.65
"289",1988,"Calgary, Canada","1000m Women","Karin Enke","GDR","SILVER","1:17.70","1:17.70",1048,60,17.7,77.7
"290",1988,"Calgary, Canada","1000m Women","Bonnie Blair","USA","BRONZE","1:18.31","1:18.31",1048,60,18.31,78.31
"291",1988,"Calgary, Canada","1500m Women","Yvonne van Gennip","NED","GOLD","2:00.68","2:00.68",1048,120,0.68,120.68
"292",1988,"Calgary, Canada","1500m Women","Karin Enke","GDR","SILVER","2:00.82","2:00.82",1048,120,0.82,120.82
"293",1988,"Calgary, Canada","1500m Women","Andrea Schöne","GDR","BRONZE","2:01.49","2:01.49",1048,120,1.49,121.49
"294",1988,"Calgary, Canada","3000m Women","Yvonne van Gennip","NED","GOLD","4:11.94","4:11.94",1048,240,11.94,251.94
"295",1988,"Calgary, Canada","3000m Women","Andrea Schöne","GDR","SILVER","4:12.09","4:12.09",1048,240,12.09,252.09
"296",1988,"Calgary, Canada","3000m Women","Gabi Zange-Schönbrunn","GDR","BRONZE","4:16.92","4:16.92",1048,240,16.92,256.92
"297",1988,"Calgary, Canada","5000m Women","Yvonne van Gennip","NED","GOLD","7:14.13","7:14.13",1048,420,14.13,434.13
"298",1988,"Calgary, Canada","5000m Women","Andrea Schöne","GDR","SILVER","7:17.12","7:17.12",1048,420,17.12,437.12
"299",1988,"Calgary, Canada","5000m Women","Gabi Zange-Schönbrunn","GDR","BRONZE","7:21.61","7:21.61",1048,420,21.61,441.61
"300",1992,"Albertville, France","500m Men","Uwe-Jens Mey","GER","GOLD","37.14","00:37.14",352,0,37.14,37.14
"301",1992,"Albertville, France","500m Men","Toshiyuki Kuroiwa","JPN","SILVER","37.18","00:37.18",352,0,37.18,37.18
"302",1992,"Albertville, France","500m Men","Junichi Inoue","JPN","BRONZE","37.26","00:37.26",352,0,37.26,37.26
"303",1992,"Albertville, France","1000m Men","Olaf Zinke","GER","GOLD","1:14.85","1:14.85",352,60,14.85,74.85
"304",1992,"Albertville, France","1000m Men","Yoon-Man Kim","KOR","SILVER","1:14.86","1:14.86",352,60,14.86,74.86
"305",1992,"Albertville, France","1000m Men","Yukinori Miyabe","JPN","BRONZE","1:14.92","1:14.92",352,60,14.92,74.92
"306",1992,"Albertville, France","1500m Men","Johann Koss","NOR","GOLD","1:54.81","1:54.81",352,60,54.81,114.81
"307",1992,"Albertville, France","1500m Men","Ådne Søndrål","NOR","SILVER","1:54.85","1:54.85",352,60,54.85,114.85
"308",1992,"Albertville, France","1500m Men","Leo Visser","NED","BRONZE","1:54.90","1:54.90",352,60,54.9,114.9
"309",1992,"Albertville, France","5000m Men","Geir Karlstad","NOR","GOLD","6:59.97","6:59.97",352,360,59.97,419.97
"310",1992,"Albertville, France","5000m Men","Falko Zandstra","NED","SILVER","7:02.28","7:02.28",352,420,2.28,422.28
"311",1992,"Albertville, France","5000m Men","Leo Visser","NED","BRONZE","7:04.96","7:04.96",352,420,4.96,424.96
"312",1992,"Albertville, France","10000m Men","Bart Veldkamp","NED","GOLD","14:12.12","14:12.12",352,840,12.12,852.12
"313",1992,"Albertville, France","10000m Men","Johann Koss","NOR","SILVER","14:14.58","14:14.58",352,840,14.58,854.58
"314",1992,"Albertville, France","10000m Men","Geir Karlstad","NOR","BRONZE","14:18.13","14:18.13",352,840,18.13,858.13
"315",1992,"Albertville, France","500m Women","Bonnie Blair","USA","GOLD","40.33","00:40.33",352,0,40.33,40.33
"316",1992,"Albertville, France","500m Women","Qiaobo Ye","CHN","SILVER","40.51","00:40.51",352,0,40.51,40.51
"317",1992,"Albertville, France","500m Women","Christa Rothenburger","GER","BRONZE","40.57","00:40.57",352,0,40.57,40.57
"318",1992,"Albertville, France","1000m Women","Bonnie Blair","USA","GOLD","1:21.90","1:21.90",352,60,21.9,81.9
"319",1992,"Albertville, France","1000m Women","Qiaobo Ye","CHN","SILVER","1:21.92","1:21.92",352,60,21.92,81.92
"320",1992,"Albertville, France","1000m Women","Monique Garbrecht","GER","BRONZE","1:22.10","1:22.10",352,60,22.1,82.1
"321",1992,"Albertville, France","1500m Women","Jacqueline Börner","GER","GOLD","2:05.87","2:05.87",352,120,5.87,125.87
"322",1992,"Albertville, France","1500m Women","Gunda Niemann","GER","SILVER","2:05.92","2:05.92",352,120,5.92,125.92
"323",1992,"Albertville, France","1500m Women","Seiko Hashimoto","JPN","BRONZE","2:06.88","2:06.88",352,120,6.88,126.88
"324",1992,"Albertville, France","3000m Women","Gunda Niemann","GER","GOLD","4:19.90","4:19.90",352,240,19.9,259.9
"325",1992,"Albertville, France","3000m Women","Heike Warnicke","GER","SILVER","4:22.88","4:22.88",352,240,22.88,262.88
"326",1992,"Albertville, France","3000m Women","Emese Hunyady","AUT","BRONZE","4:24.64","4:24.64",352,240,24.64,264.64
"327",1992,"Albertville, France","5000m Women","Gunda Niemann","GER","GOLD","7:31.57","7:31.57",352,420,31.57,451.57
"328",1992,"Albertville, France","5000m Women","Heike Warnicke","GER","SILVER","7:37.59","7:37.59",352,420,37.59,457.59
"329",1992,"Albertville, France","5000m Women","Claudia Pechstein","GER","BRONZE","7:39.80","7:39.80",352,420,39.8,459.8
"330",1992,"Albertville, France","1000m Short Track Men","Ki-Hoon Kim","KOR","GOLD","1:30.76","1:30.76",352,60,30.76,90.76
"331",1992,"Albertville, France","1000m Short Track Men","Frédéric Blackburn","CAN","SILVER","1:31.11","1:31.11",352,60,31.11,91.11
"332",1992,"Albertville, France","1000m Short Track Men","Joon-Ho Lee","KOR","BRONZE","1:31.16","1:31.16",352,60,31.16,91.16
"333",1992,"Albertville, France","5000m Short Track Relay Men","Joon-Ho Lee","KOR","GOLD","7:14.02","7:14.02",352,420,14.02,434.02
"334",1992,"Albertville, France","5000m Short Track Relay Men","Ji-Su Mo","KOR","GOLD","7:14.02","7:14.02",352,420,14.02,434.02
"335",1992,"Albertville, France","5000m Short Track Relay Men","Ki-Hoon Kim","KOR","GOLD","7:14.02","7:14.02",352,420,14.02,434.02
"336",1992,"Albertville, France","5000m Short Track Relay Men","Jae-Kun Song","KOR","GOLD","7:14.02","7:14.02",352,420,14.02,434.02
"337",1992,"Albertville, France","5000m Short Track Relay Men","Sylvain Gagnon","CAN","SILVER","7:14.06","7:14.06",352,420,14.06,434.06
"338",1992,"Albertville, France","5000m Short Track Relay Men","Marck Lackie","CAN","SILVER","7:14.06","7:14.06",352,420,14.06,434.06
"339",1992,"Albertville, France","5000m Short Track Relay Men","Frédéric Blackburn","CAN","SILVER","7:14.06","7:14.06",352,420,14.06,434.06
"340",1992,"Albertville, France","5000m Short Track Relay Men","Michel Daignault","CAN","SILVER","7:14.06","7:14.06",352,420,14.06,434.06
"341",1992,"Albertville, France","5000m Short Track Relay Men","Yuichi Akasaka","JPN","BRONZE","7:18.18","7:18.18",352,420,18.18,438.18
"342",1992,"Albertville, France","5000m Short Track Relay Men","Tatsuyoshi Ishihara","JPN","BRONZE","7:18.18","7:18.18",352,420,18.18,438.18
"343",1992,"Albertville, France","5000m Short Track Relay Men","Toshinobu Kawai","JPN","BRONZE","7:18.18","7:18.18",352,420,18.18,438.18
"344",1992,"Albertville, France","5000m Short Track Relay Men","Tsutomu Kawasaki","JPN","BRONZE","7:18.18","7:18.18",352,420,18.18,438.18
"345",1992,"Albertville, France","500m Short Track Women","Cathy Turner","USA","GOLD","47.04","00:47.04",352,0,47.04,47.04
"346",1992,"Albertville, France","500m Short Track Women","Yan Li","CHN","SILVER","47.08","00:47.08",352,0,47.08,47.08
"347",1992,"Albertville, France","500m Short Track Women","Ok-Sil Hwang","PRK","BRONZE","47.23","00:47.23",352,0,47.23,47.23
"348",1992,"Albertville, France","3000m Short Track Relay Women","Angela Cutrone","CAN","GOLD","4:36.62","4:36.62",352,240,36.62,276.62
"349",1992,"Albertville, France","3000m Short Track Relay Women","Sylvie Daigle","CAN","GOLD","4:36.62","4:36.62",352,240,36.62,276.62
"350",1992,"Albertville, France","3000m Short Track Relay Women","Nathalie Lambert","CAN","GOLD","4:36.62","4:36.62",352,240,36.62,276.62
"351",1992,"Albertville, France","3000m Short Track Relay Women","Annie Perreault","CAN","GOLD","4:36.62","4:36.62",352,240,36.62,276.62
"352",1992,"Albertville, France","3000m Short Track Relay Women","Amy Peterson","USA","SILVER","4:37.85","4:37.85",352,240,37.85,277.85
"353",1992,"Albertville, France","3000m Short Track Relay Women","Cathy Turner","USA","SILVER","4:37.85","4:37.85",352,240,37.85,277.85
"354",1992,"Albertville, France","3000m Short Track Relay Women","Nikki Ziegelmeyer","USA","SILVER","4:37.85","4:37.85",352,240,37.85,277.85
"355",1992,"Albertville, France","3000m Short Track Relay Women","Darcie Dohnal","USA","SILVER","4:37.85","4:37.85",352,240,37.85,277.85
"356",1992,"Albertville, France","3000m Short Track Relay Women","Natalya Isakova","URS","BRONZE","4:42.69","4:42.69",352,240,42.69,282.69
"357",1992,"Albertville, France","3000m Short Track Relay Women","Yuliya Allagulova","URS","BRONZE","4:42.69","4:42.69",352,240,42.69,282.69
"358",1992,"Albertville, France","3000m Short Track Relay Women","Viktoriya Taranina","URS","BRONZE","4:42.69","4:42.69",352,240,42.69,282.69
"359",1992,"Albertville, France","3000m Short Track Relay Women","Yuliya Vlasova","URS","BRONZE","4:42.69","4:42.69",352,240,42.69,282.69
"360",1994,"Lillehammer, Norway","500m Men","Aleksandr Golubev","RUS","GOLD","36.33","00:36.33",180,0,36.33,36.33
"361",1994,"Lillehammer, Norway","500m Men","Sergey Klevchenya","RUS","SILVER","36.39","00:36.39",180,0,36.39,36.39
"362",1994,"Lillehammer, Norway","500m Men","Manabu Horii","JPN","BRONZE","36.53","00:36.53",180,0,36.53,36.53
"363",1994,"Lillehammer, Norway","1000m Men","Dan Jansen","USA","GOLD","1:12.43","1:12.43",180,60,12.43,72.43
"364",1994,"Lillehammer, Norway","1000m Men","Igor Zhelezovsky","BLR","SILVER","1:12.72","1:12.72",180,60,12.72,72.72
"365",1994,"Lillehammer, Norway","1000m Men","Sergey Klevchenya","RUS","BRONZE","1:12.85","1:12.85",180,60,12.85,72.85
"366",1994,"Lillehammer, Norway","1500m Men","Johann Koss","NOR","GOLD","1:51.29","1:51.29",180,60,51.29,111.29
"367",1994,"Lillehammer, Norway","1500m Men","Rintje Ritsma","NED","SILVER","1:51.99","1:51.99",180,60,51.99,111.99
"368",1994,"Lillehammer, Norway","1500m Men","Falko Zandstra","NED","BRONZE","1:52.38","1:52.38",180,60,52.38,112.38
"369",1994,"Lillehammer, Norway","5000m Men","Johann Koss","NOR","GOLD","6:34.96","6:34.96",180,360,34.96,394.96
"370",1994,"Lillehammer, Norway","5000m Men","Kjell Storelid","NOR","SILVER","6:42.68","6:42.68",180,360,42.68,402.68
"371",1994,"Lillehammer, Norway","5000m Men","Rintje Ritsma","NED","BRONZE","6:43.94","6:43.94",180,360,43.94,403.94
"372",1994,"Lillehammer, Norway","10000m Men","Johann Koss","NOR","GOLD","13:30.55","13:30.55",180,780,30.55,810.55
"373",1994,"Lillehammer, Norway","10000m Men","Kjell Storelid","NOR","SILVER","13:49.25","13:49.25",180,780,49.25,829.25
"374",1994,"Lillehammer, Norway","10000m Men","Bart Veldkamp","NED","BRONZE","13:56.73","13:56.73",180,780,56.73,836.73
"375",1994,"Lillehammer, Norway","500m Women","Bonnie Blair","USA","GOLD","39.25","00:39.25",180,0,39.25,39.25
"376",1994,"Lillehammer, Norway","500m Women","Susan Auch","CAN","SILVER","39.61","00:39.61",180,0,39.61,39.61
"377",1994,"Lillehammer, Norway","500m Women","Franziska Schenk","GER","BRONZE","39.7","00:39.70",180,0,39.7,39.7
"378",1994,"Lillehammer, Norway","1000m Women","Bonnie Blair","USA","GOLD","1:18.74","1:18.74",180,60,18.74,78.74
"379",1994,"Lillehammer, Norway","1000m Women","Anke Baier-Loef","GER","SILVER","1:20.12","1:20.12",180,60,20.12,80.12
"380",1994,"Lillehammer, Norway","1000m Women","Qiaobo Ye","CHN","BRONZE","1:20.22","1:20.22",180,60,20.22,80.22
"381",1994,"Lillehammer, Norway","1500m Women","Emese Hunyady","AUT","GOLD","2:02.19","2:02.19",180,120,2.19,122.19
"382",1994,"Lillehammer, Norway","1500m Women","Svetlana Fedotkina","RUS","SILVER","2:02.69","2:02.69",180,120,2.69,122.69
"383",1994,"Lillehammer, Norway","1500m Women","Gunda Niemann","GER","BRONZE","2:03.41","2:03.41",180,120,3.41,123.41
"384",1994,"Lillehammer, Norway","3000m Women","Svetlana Bashanova","RUS","GOLD","4:17.43","4:17.43",180,240,17.43,257.43
"385",1994,"Lillehammer, Norway","3000m Women","Emese Hunyady","AUT","SILVER","4:18.14","4:18.14",180,240,18.14,258.14
"386",1994,"Lillehammer, Norway","3000m Women","Claudia Pechstein","GER","BRONZE","4:18.34","4:18.34",180,240,18.34,258.34
"387",1994,"Lillehammer, Norway","5000m Women","Claudia Pechstein","GER","GOLD","7:14.37","7:14.37",180,420,14.37,434.37
"388",1994,"Lillehammer, Norway","5000m Women","Gunda Niemann","GER","SILVER","7:14.88","7:14.88",180,420,14.88,434.88
"389",1994,"Lillehammer, Norway","5000m Women","Hiromi Yamamoto","JPN","BRONZE","7:19.68","7:19.68",180,420,19.68,439.68
"390",1994,"Lillehammer, Norway","500m Short Track Men","Ji-Hoon Chae","KOR","GOLD","43.45","00:43.45",180,0,43.45,43.45
"391",1994,"Lillehammer, Norway","500m Short Track Men","Mirko Vuillermin","ITA","SILVER","43.47","00:43.47",180,0,43.47,43.47
"392",1994,"Lillehammer, Norway","500m Short Track Men","Nicholas Gooch","GBR","BRONZE","43.68","00:43.68",180,0,43.68,43.68
"393",1994,"Lillehammer, Norway","1000m Short Track Men","Ki-Hoon Kim","KOR","GOLD","1:34.57","1:34.57",180,60,34.57,94.57
"394",1994,"Lillehammer, Norway","1000m Short Track Men","Ji-Hoon Chae","KOR","SILVER","1:34.92","1:34.92",180,60,34.92,94.92
"395",1994,"Lillehammer, Norway","1000m Short Track Men","Marc Gagnon","CAN","BRONZE","1:33.03","1:33.03",180,60,33.03,93.03
"396",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Orazio Fagone","ITA","GOLD","7:11.74","7:11.74",180,420,11.74,431.74
"397",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Hugo Herrnhof","ITA","GOLD","7:11.74","7:11.74",180,420,11.74,431.74
"398",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Maurizio Carnino","ITA","GOLD","7:11.74","7:11.74",180,420,11.74,431.74
"399",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Mirko Vuillermin","ITA","GOLD","7:11.74","7:11.74",180,420,11.74,431.74
"400",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Randall Bartz","USA","SILVER","7:13.68","7:13.68",180,420,13.68,433.68
"401",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Eric Flaim","USA","SILVER","7:13.68","7:13.68",180,420,13.68,433.68
"402",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Andrew Gabel","USA","SILVER","7:13.68","7:13.68",180,420,13.68,433.68
"403",1994,"Lillehammer, Norway","5000m Short Track Relay Men","John Coyle","USA","SILVER","7:13.68","7:13.68",180,420,13.68,433.68
"404",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Steven Bradbury","AUS","BRONZE","7:13.68","7:13.68",180,420,13.68,433.68
"405",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Andrew Murtha","AUS","BRONZE","7:13.68","7:13.68",180,420,13.68,433.68
"406",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Kieran Hansen","AUS","BRONZE","7:13.68","7:13.68",180,420,13.68,433.68
"407",1994,"Lillehammer, Norway","5000m Short Track Relay Men","Richard Nizielski","AUS","BRONZE","7:13.68","7:13.68",180,420,13.68,433.68
"408",1994,"Lillehammer, Norway","500m Short Track Women","Cathy Turner","USA","GOLD","45.98","00:45.98",180,0,45.98,45.98
"409",1994,"Lillehammer, Norway","500m Short Track Women","Yanmei Zhang","CHN","SILVER","46.44","00:46.44",180,0,46.44,46.44
"410",1994,"Lillehammer, Norway","500m Short Track Women","Amy Peterson","USA","BRONZE","46.76","00:46.76",180,0,46.76,46.76
"411",1994,"Lillehammer, Norway","1000m Short Track Women","Lee-Kyung Chun","KOR","GOLD","1:36.87","1:36.87",180,60,36.87,96.87
"412",1994,"Lillehammer, Norway","1000m Short Track Women","Nathalie Lambert","CAN","SILVER","1:36.97","1:36.97",180,60,36.97,96.97
"413",1994,"Lillehammer, Norway","1000m Short Track Women","So-Hee Kim","KOR","BRONZE","1:37.09","1:37.09",180,60,37.09,97.09
"414",1994,"Lillehammer, Norway","3000m Short Track Relay Women","So-Hee Kim","KOR","GOLD","4:26.64","4:26.64",180,240,26.64,266.64
"415",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Yoon-Mi Kim","KOR","GOLD","4:26.64","4:26.64",180,240,26.64,266.64
"416",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Lee-Kyung Chun","KOR","GOLD","4:26.64","4:26.64",180,240,26.64,266.64
"417",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Hye-Kyung Won","KOR","GOLD","4:26.64","4:26.64",180,240,26.64,266.64
"418",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Isabelle Charest","CAN","SILVER","4:32.04","4:32.04",180,240,32.04,272.04
"419",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Sylvie Daigle","CAN","SILVER","4:32.04","4:32.04",180,240,32.04,272.04
"420",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Christine Boudrias","CAN","SILVER","4:32.04","4:32.04",180,240,32.04,272.04
"421",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Nathalie Lambert","CAN","SILVER","4:32.04","4:32.04",180,240,32.04,272.04
"422",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Karen Cashman","USA","BRONZE","4:39.34","4:39.34",180,240,39.34,279.34
"423",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Cathy Turner","USA","BRONZE","4:39.34","4:39.34",180,240,39.34,279.34
"424",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Amy Peterson","USA","BRONZE","4:39.34","4:39.34",180,240,39.34,279.34
"425",1994,"Lillehammer, Norway","3000m Short Track Relay Women","Nikki Ziegelmeyer","USA","BRONZE","4:39.34","4:39.34",180,240,39.34,279.34
"426",1998,"Nagano, Japan","500m Men","Hiroyasu Shimizu","JPN","GOLD","1:11.35","1:11.35",300,60,11.35,71.35
"427",1998,"Nagano, Japan","500m Men","Jeremy Wotherspoon","CAN","SILVER","1:11.84","1:11.84",300,60,11.84,71.84
"428",1998,"Nagano, Japan","500m Men","Kevin Overland","CAN","BRONZE","1:11.86","1:11.86",300,60,11.86,71.86
"429",1998,"Nagano, Japan","1000m Men","Ids Postma","NED","GOLD","1:10.64","1:10.64",300,60,10.64,70.64
